,,,General (no gender split),,,,,,Male (if gender split),,,,,,Female (if gender split),,,,,
Name,Type,Gender_Specific,H1,B1,H2,B2,H3,B3,H1,B1,H2,B2,H3,B3,H1,B1,H2,B2,H3,B3
Health Score,Metric,No,What is your Health Score?,"Your Health Score is a 0-100 snapshot of your overall health. Think of it as a progress report for your body—built from key areas like Heart & Vascular Health, metabolism, liver and kidney function, hormones, and inflammation.
 
 We grade each area based on your biomarker results, then combine them into one easy-to-track number. What makes this different? We don't just use textbook 'normal' ranges. Our optimal ranges are grounded in longevity science and data from healthier, longer-lived populations.",Why does it matter?,"Your Health Score gives you a single number to track over time. Instead of wondering what 84 different biomarkers mean individually, you get one clear signal: are you heading in the right direction?
 
 It's not about perfection. It's about progress.",Why is an optimal level important?,"A higher Health Score reflects better function across multiple body systems. Scores above 70 suggest your body is performing well. Scores below 50 indicate areas that could benefit from attention.
 
 Small improvements in several areas compound into meaningful gains in how you feel—and how you age.",,,,,,,,,,,,
Cholesterol Risk Ratio,Metric,No,What is Cholesterol Risk Ratio?,"This ratio compares your total cholesterol to your HDL ('good') cholesterol. It's calculated by dividing Total Cholesterol by HDL.
 
 Why a ratio? Because context matters. You could have 'high' total cholesterol but still have a healthy ratio if your HDL is doing its job.",Why does it matter?,"A lower ratio means better protection. Your HDL helps sweep excess cholesterol out of your arteries, reducing plaque buildup.
 
 Target: Less than 4.5 is healthy. Under 3.5 is optimal.",Why is an optimal level important?,"An optimal ratio of under 3.5 indicates your protective cholesterol is keeping pace with total cholesterol. This balance significantly reduces your risk of heart disease and stroke.
 
 Raising HDL through exercise, healthy fats, and lifestyle changes can improve your ratio even if total cholesterol stays the same.",,,,,,,,,,,,
Insulin Resistance Indicator,Metric,No,What is Insulin Resistance Indicator?,"This metric is calculated by dividing your Triglycerides by your HDL cholesterol. It's a simple but powerful proxy for how well your body responds to insulin.
 
 When your cells become resistant to insulin, your body compensates by raising triglycerides and lowering HDL—making this ratio an early warning signal.",Why does it matter?,"Insulin resistance is often the first domino to fall before metabolic issues, weight gain, and even type 2 diabetes. Catching it early gives you time to act.
 
 Target: Less than 2 is optimal. Above 3 suggests early insulin resistance worth addressing.",Why is an optimal level important?,"Keeping this ratio under 2 means your cells are responding well to insulin. Your body efficiently manages blood sugar without overworking your pancreas.
 
 This is one of the most lifestyle-responsive markers. Diet changes—especially reducing refined carbs and sugar—can improve it within weeks.",,,,,,,,,,,,
Kidney Health Score,Metric,No,What is Kidney Health Score?,"This score is your BUN (blood urea nitrogen) divided by your creatinine. Both are waste products your kidneys filter out—but they're affected by different things.
 
 The ratio helps distinguish between dehydration, protein intake issues, and actual kidney function problems.",Why does it matter?,"Your kidneys filter about 200 liters of blood daily. This simple ratio helps confirm they're doing their job well.
 
 A high ratio often just means you're dehydrated or eating a lot of protein—easy fixes.",Why is an optimal level important?,"An optimal range of 10-20 indicates your kidneys are efficiently filtering waste and you're well-hydrated.
 
 Below 10 may suggest low protein intake or liver issues. Above 20 often points to dehydration—drink more water and retest.",,,,,,,,,,,,
Liver Health Ratio,Metric,No,What is Liver Health Ratio?,"This is your AST divided by your ALT—two liver enzymes that tell different stories. ALT is more specific to the liver, while AST is also found in your heart and muscles.
 
 The ratio helps distinguish between liver-specific issues and other causes of elevated enzymes.",Why does it matter?,"A ratio above 2 with elevated enzymes can suggest alcohol-related liver stress. A lower ratio typically points to non-alcoholic fatty liver.
 
 This metric adds context—because numbers alone don't tell the whole story.",Why is an optimal level important?,"An optimal ratio of 0.8-1.0 suggests balanced liver enzyme activity with no obvious pattern of damage.
 
 Your liver is remarkably resilient—it can regenerate. Catching imbalances early means lifestyle changes can fully reverse most liver stress.",,,,,,,,,,,,
Immune Stress Index,Metric,No,What is Immune Stress Index?,"Also known as the Neutrophil-to-Lymphocyte Ratio (NLR), this compares two types of white blood cells. Neutrophils respond to acute stress and infection. Lymphocytes handle long-term immune memory.
 
 When you're under chronic stress—physical, emotional, or from illness—neutrophils go up and lymphocytes go down.",Why does it matter?,"This ratio is a remarkably simple indicator of systemic stress—it correlates with everything from recovery time to long-term disease risk.
 
 Target: Under 3 is healthy. Above 3 suggests your body is dealing with chronic stress or low-grade inflammation.",Why is an optimal level important?,"An optimal NLR under 2 indicates a balanced immune system not under chronic strain.
 
 Elevated levels respond to stress management, better sleep, and addressing underlying inflammation. It's one of the markers that reflects your overall lifestyle burden.",,,,,,,,,,,,
Bad Cholesterol Total,Metric,No,What is Bad Cholesterol Total?,"This is your Total Cholesterol minus your HDL ('good') cholesterol. What's left is all the potentially harmful cholesterol—the stuff that can build up in your arteries.
 
 It's sometimes called 'non-HDL cholesterol' and includes LDL, VLDL, and other atherogenic particles.",Why does it matter?,"This metric captures all the 'bad actors' in one number, making it more comprehensive than LDL alone.
 
 Target: Under 130 mg/dL. If high, focus on reducing saturated fats, increasing fiber, and staying active.",Why is an optimal level important?,"Keeping non-HDL cholesterol under 100 mg/dL significantly reduces plaque formation in your arteries.
 
 Unlike total cholesterol, this number is always actionable—lower is better, and every 10 mg/dL reduction meaningfully cuts cardiovascular risk.",,,,,,,,,,,,
Systemic Inflammation Score,Metric,No,What is Systemic Inflammation Score?,"This score combines neutrophils, platelets, and lymphocytes into one inflammation index: (Neutrophils × Platelets) / Lymphocytes.
 
 It's more comprehensive than looking at any single marker, giving you a fuller picture of your body's inflammatory state.",Why does it matter?,"Chronic inflammation is linked to nearly every major disease—heart disease, diabetes, cancer, dementia. Tracking this score helps you catch it early.
 
 Target: Under 500. Higher values suggest your immune system is in a heightened state.",Why is an optimal level important?,"Optimal levels under 400 indicate your body isn't fighting a chronic battle you don't know about.
 
 Anti-inflammatory lifestyle factors—omega-3s, vegetables, quality sleep, stress management—can meaningfully move this number.",,,,,,,,,,,,
Insulin Resistance Score,Metric,No,What is Insulin Resistance Score?,"This is the HOMA-IR score: (Fasting Insulin × Fasting Glucose) / 405. It's the gold standard for estimating insulin resistance from a simple blood test.
 
 The formula models how well your pancreas and liver are working together to regulate blood sugar.",Why does it matter?,"This score can catch metabolic problems years before blood sugar rises. It's like seeing the check engine light before your car breaks down.
 
 Target: Under 1.0 is optimal. Under 2.0 is healthy. Above 2.5 indicates insulin resistance.",Why is an optimal level important?,"A HOMA-IR under 1.0 means your cells respond efficiently to insulin and your pancreas isn't overworking.
 
 This is highly responsive to lifestyle. Weight loss, exercise, and reducing refined carbohydrates can dramatically improve insulin sensitivity.",,,,,,,,,,,,
